Video_Code,Seed_Mass_mg,Notes
Fcal1m2n1d2,0.096,
Fcal1m2n1d3,0.09,
Fcal1m2n1r1,0.114,
Fcal1m2n1r2,0.097,
Fcal1m2n1r3,0.086,
Ffre1m1n4d1,0.034,
Ffre1m1n4d2,0.031,
Ffre1m1n4d3,0.034,
Ffre1m1n4r1,0.045,
Ffre1m1n4r2,0.032,Seed broken before video taken REPLACE (done)
Ffre1m1n4r3,0.04,
Ffre1m2n3d1,0.066,
Ffre1m2n3d2,0.06,
Ffre1m2n3d3,0.062,
Ffre1m2n3r1,0.035,
Ffre1m2n3r2,0.032,"Seed lost before video taken, REPLACE (done)"
Ffre1m2n3r3,0.061,
Gcal1m1n4d1,0.052,
Gcal1m1n4d2,0.025,
Gcal1m1n4d3,0.053,
Gcal1m1n4r1,0.036,
Gcal1m1n4r2,0.075,
Gcal1m1n4r3,0.037,
Gcal1m2n5d1,0.032,"Seed missing after video was collected, replaced reweighed"
Gcal1m2n5d2,0.023,
Gcal1m2n5d3,0.042,"Seed lost, REPLACE (done)"
Gcal1m2n5r1,0.065,
Gcal1m2n5r2,0.067,
Gcal1m2n5r3,0.056,
Gfre1m1n1d1,0.035,
Gfre1m1n1d2,0.064,
Gfre1m1n1d3,0.045,
Gfre1m1n1r1,0.056,
Gfre1m1n1r2,0.071,
Gfre1m1n1r3,0.053,
Gfre1m2n4d1,0.051,
Gfre1m2n4d2,0.057,
Gfre1m2n4d3,0.136,
Gfre1m2n4r1,0.046,
Gfre1m2n4r2,0.047,
Gfre1m2n4r3,0.116,
Ggla1m1n4d1,0.17,
Ggla1m1n4d2,0.096,
Ggla1m1n4d3,0.183,
Ggla1m1n5d1,0.114,
Ggla1m1n5d2,0.114,
Ggla1m1n5d3,0.094,
Hcal1m1n1d1,0.069,
Hcal1m1n1d2,0.087,
Hcal1m1n1d3,0.073,
Hcal1m1n1r1,0.098,
Hcal1m1n1r2,0.093,
Hcal1m1n1r3,0.061,
Hcal1m2n3d1,0.092,
Hcal1m2n3d2,0.082,
Hcal1m2n3d3,0.097,
Hcal1m2n3r1,0.1,
Hcal1m2n3r2,0.102,
Hcal1m2n3r3,0.053,
Hfre1m2n2d1,0.047,
Hfre1m2n2d2,0.059,
Hfre1m2n2d3,0.058,
Hfre1m2n2r1,0.064,
Hfre1m2n2r2,0.071,
Hfre1m2n2r3,0.072,
Hfre1m2n3d1,0.058,
Hfre1m2n3d2,0.055,
Hfre1m2n3d3,0.06,
Hfre1m2n3r1,0.072,
Hfre1m2n3r2,0.055,
Hfre1m2n3r3,0.073,
Hgla1m2n2d1,0.128,
Hgla1m2n2d2,0.106,
Hgla1m2n2d3,0.116,
Hgla1m2n4d1,0.254,
Hgla1m2n4d2,0.229,
Hgla1m2n4d3,0.272,
